end_station_id,month,end_station_name,end_lat,end_lng,ride_count
3113.1,11,Stratford Rd & Beverley Rd,40.64378,-73.96867,200
3113.1,12,Stratford Rd & Beverley Rd,40.64378,-73.96867,100
3117.05,1,46 St & 7 Ave,40.644743,-74.003754,100
3117.05,2,46 St & 7 Ave,40.644743,-74.003754,300
3117.05,3,46 St & 7 Ave,40.644743,-74.003754,100
3117.05,4,46 St & 7 Ave,40.644743,-74.003754,500
3117.05,5,46 St & 7 Ave,40.644743,-74.003754,400
3117.05,6,46 St & 7 Ave,40.644743,-74.003754,400
3117.05,7,46 St & 7 Ave,40.644743,-74.003754,500
3117.05,8,46 St & 7 Ave,40.644743,-74.003754,200
3117.05,9,46 St & 7 Ave,40.644743,-74.003754,300
3117.05,10,46 St & 7 Ave,40.644743,-74.003754,400
3117.05,11,46 St & 7 Ave,40.644743,-74.003754,500
3117.05,12,46 St & 7 Ave,40.644743,-74.003754,100
3121.01,8,Cortelyou Rd & Albany Ave,40.64483,-73.93853,300
3121.01,10,Cortelyou Rd & Albany Ave,40.64483,-73.93853,100
3121.01,11,Cortelyou Rd & Albany Ave,40.64483,-73.93853,200
3125.09,1,Ocean Pkwy & Church Ave,40.64471895763575,-73.97451460361481,100
3125.09,2,Ocean Pkwy & Church Ave,40.64471895763575,-73.97451460361481,200
3125.09,3,Ocean Pkwy & Church Ave,40.64471895763575,-73.97451460361481,700
3125.09,4,Ocean Pkwy & Church Ave,40.64471895763575,-73.97451460361481,800
3125.09,5,Ocean Pkwy & Church Ave,40.64471895763575,-73.97451460361481,600
3125.09,6,Ocean Pkwy & Church Ave,40.64471895763575,-73.97451460361481,900
3125.09,7,Ocean Pkwy & Church Ave,40.64471895763575,-73.97451460361481,900
3125.09,8,Ocean Pkwy & Church Ave,40.64471895763575,-73.97451460361481,1000
3125.09,9,Ocean Pkwy & Church Ave,40.64471895763575,-73.97451460361481,800
3125.09,10,Ocean Pkwy & Church Ave,40.64471895763575,-73.97451460361481,1400
3125.09,11,Ocean Pkwy & Church Ave,40.64471895763575,-73.97451460361481,900
3125.09,12,Ocean Pkwy & Church Ave,40.64471895763575,-73.97451460361481,600
3129.08,2,53 St & 5 Ave,40.643371,-74.011884,300
3129.08,3,53 St & 5 Ave,40.643371,-74.011884,100
3129.08,4,53 St & 5 Ave,40.643371,-74.011884,200
3129.08,5,53 St & 5 Ave,40.643371,-74.011884,400
3129.08,6,53 St & 5 Ave,40.643371,-74.011884,100
3129.08,7,53 St & 5 Ave,40.643371,-74.011884,300
3129.08,9,53 St & 5 Ave,40.643371,-74.011884,100
3129.08,10,53 St & 5 Ave,40.643371,-74.011884,300
3129.08,12,53 St & 5 Ave,40.643371,-74.011884,100
3132.09,8,Beverley Rd & Nostrand Ave,40.64507,-73.9488,200
3132.09,9,Beverley Rd & Nostrand Ave,40.64507,-73.9488,100
3132.09,10,Beverley Rd & Nostrand Ave,40.64507,-73.9488,500
3132.09,11,Beverley Rd & Nostrand Ave,40.64507,-73.9488,100
3132.09,12,Beverley Rd & Nostrand Ave,40.64507,-73.9488,200
3135.04,1,Chester Ave & 12 Ave,40.644367,-73.984276,400
3135.04,3,Chester Ave & 12 Ave,40.644367,-73.984276,100
3135.04,4,Chester Ave & 12 Ave,40.644367,-73.984276,200
3135.04,5,Chester Ave & 12 Ave,40.644367,-73.984276,300
3135.04,6,Chester Ave & 12 Ave,40.644367,-73.984276,100
3135.04,7,Chester Ave & 12 Ave,40.644367,-73.984276,100
3135.04,8,Chester Ave & 12 Ave,40.644367,-73.984276,100
